A1台|https://15813114727637862976168173814320.live.prod.hkatv.com/a1_cbr_lo.m3u8
C+頻道|https://ottproxy2.mott.tv/livehls:cmi/MOB-U1-NO/index.m3u8
Celestial Movies|http://210.210.155.35/qwr9ew/s/s33/01.m3u8
Channel [V]|rtmp://ivi.bupt.edu.cn:1935/livetv/channelv
有線新聞台|https://ottproxy2.mott.tv/livehls:cmi/MOB-SCC/index.m3u8
有線綜合娛樂台|https://ottproxy2.mott.tv/livehls/MOB-CN/index.m3u8
有線財經資訊台|https://ottproxy2.mott.tv/livehls/MOB-NGW/01.m3u8
港台電視31|https://www.rthk.hk/feeds/dtt/rthktv31_https.m3u8
港台電視32|https://www.rthk.hk/feeds/dtt/rthktv32_https.m3u8
耀才財經台|http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
香港衛視|http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港開電視|http://media.fantv.hk/m3u8/archive/channel2_stream1.m3u8
鳳凰衛視中文台|http://221.179.217.70/PLTV/88888888/224/3221225942/1.m3u8
鳳凰衛視資訊台HD|http://117.169.120.138:8080/live/fhzixun/.m3u8
韩国Arirang|http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
CBN|http://bcliveuniv-lh.akamaihd.net/i/iptv1_1@194050/master.m3u8
NewTV动画王国FHD|http://223.110.245.161/ott.js.chinamobile.com/PLTV/3/224/3221225555/index.m3u8
香港财经|http://e1.vdowowza.vip.hk1.tvb.com/tvblive/smil:mobilehd_financeintl.smil/chunklist_w919410739.m3u8
鳳凰中文2|http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221226922/index.m3u8
Newtv动画王国|http://183.207.249.15/PLTV/3/224/3221225555/index.m3u8
Newtv家庭剧场|http://183.207.249.14/PLTV/3/224/3221225549/index.m3u8
Newtv惊悚悬疑|http://183.207.249.7/PLTV/3/224/3221225561/index.m3u8
Newtv精品电影|http://183.207.249.14/PLTV/3/224/3221225567/index.m3u8
Newtv精品记录|http://183.207.249.14/PLTV/3/224/3221225557/index.m3u8
Newtv金牌综艺|http://183.207.249.16/PLTV/3/224/3221225559/index.m3u8
NewTV搏击|http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221226656/index.m3u8
凤凰卫视资讯台|http://183.207.249.35/PLTV/3/224/3221226923/index.m3u8
凤凰资讯|http://183.251.61.198/PLTV/88888888/224/3221225901/index.m3u8
凤凰香港|http://183.207.249.35/PLTV/3/224/3221226975/index.m3u8
台湾-壹新闻|http://d2e6xlgy8sg8ji.cloudfront.net/liveedge/eratv3/playlist.m3u8
唯心电视台wxtv|http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8
壹新闻|http://ax.micaesoft.com/YMitv/YMITV_CN_eratv.m3u8
Newtv明星大片|http://183.207.249.14/PLTV/3/224/3221225535/index.m3u8
NewTV明星大片FHD|http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221225535/index.m3u8
NewTV海外剧场|http://223.110.245.155/ott.js.chinamobile.com/PLTV/3/224/3221225547/index.m3u8
电音DJ SE7EN MUSIC 音乐频道|http://cn-gdgz4-cmcc-live-01.live-play.acgvideo.com/live-bvc/live_61157635_5292797.m3u8
NewTV潮妈辣婆|http://223.110.245.170/ott.js.chinamobile.com/PLTV/3/224/3221226983/index.m3u8
NewTV精品记录FHD|http://223.110.245.170/ott.js.chinamobile.com/PLTV/3/224/3221225557/index.m3u8
Newtv精品大剧|http://183.207.249.14/PLTV/3/224/3221225569/index.m3u8
NewTV精品大剧FHD|http://223.110.245.163/ott.js.chinamobile.com/PLTV/3/224/3221225569/index.m3u8
凤凰资讯HD|http://183.251.61.221/PLTV/88888888/224/3221225901/index.m3u8
CHC高清电影|http://ivi.bupt.edu.cn/hls/chchd.m3u8
NewTV精品电影FHD|http://223.110.245.153/ott.js.chinamobile.com/PLTV/3/224/3221225567/index.m3u8
壹新闻|http://d2e6xlgy8sg8ji.cloudfront.net/liveedge/eratv3/chunklist.m3u8
NewTV精品记录FHD|http://223.110.245.143/ott.js.chinamobile.com/PLTV/3/224/3221225557/index.m3u8
NHK综合台|https://nhkworld.webcdn.stream.ne.jp/www11/nhkworld-tv/global/263941/live_wa_s.m3u8
SDETV|http://223.110.245.149/ott.js.chinamobile.com/PLTV/3/224/3221227019/index.m3u8
TVB-财经资讯台|http://e1.vdowowza.vip.hk1.tvb.com/tvblive/smil:mobilehd_financeintl.smil/playlist.m3u8
TVBJ5-无线财经咨询台|http://e1.vdowowza.vip.hk1.tvb.com/tvblive/smil:mobilehd_financeintl.smil/chunklist_w1412641159_b448000.m3u8
TVB无线财经台|http://e1.vdowowza.vip.hk1.tvb.com/tvblive/smil:mobilehd_financeintl.smil/chunklist_w1698599909_b1096000.m3u8
TVB无线财经台|http://e1.vdowowza.vip.hk1.tvb.com/tvblive/smil:mobilehd_financeintl.smil/chunklist.m3u8
TVS2|http://223.110.245.153/ott.js.chinamobile.com/PLTV/3/224/3221227005/index.m3u8
中天娱乐|http://122.146.68.116:4007/VideoInput/play.ts
亞洲新聞|http://drsh196ivjwe8.cloudfront.net/hls/cnai/03.m3u8
JUSTMINTV|http://109.71.162.112:1935/live/hd.jasminchannel.stream/chunklist_w1190948669.m3u8
凤凰香港|http://live.fengshows.com/live/PHK_500k/index.m3u8?ts=&token=
凤凰香港HD|http://223.82.250.72/ysten-bussiness/live/fhhongkong/1.m3u8
凤凰香港HD|http://223.82.250.72/ysten-bussiness/live/fhhongkong/1.m3u8
凤凰香港备|http://live.fengshows.com/live/PHK_500k/index.m3u8
凤凰香港高清|http://223.82.250.72/live/fhhongkong/1.m3u8
卡塔尔半岛台|http://aljazeera-doc-apple-live.adaptive.level3.net/apple/aljazeera/hq-doc/800kStream.m3u8
壹新闻|http://d2e6xlgy8sg8ji.cloudfront.net/liveedge/eratv1/chunklist.m3u8
怪物科幻|http://tx.hls.huya.com/huyalive/30765679-2478268764-10644083292078342144-2847699106-10057-A-0-1.m3u8
探索科学|http://122.155.180.8:5021/live/457
JUSTMINTV|http://109.71.162.112:1935/live/hd.jasminchannel.stream/playlist.m3u8
星空卫视|http://218.202.220.2:5000/nn_live.ts?id=STARTV
民視新聞|https://6.mms.vlog.xuite.net/hls/ftvtv/index.m3u8
民视新闻1|http://210.61.56.23/hls/ftvtv/index.m3u8
NewTV健康有约|http://223.110.245.157/ott.js.chinamobile.com/PLTV/3/224/3221225545/index.m3u8
环球电视台|http://live-cdn.xzxwhcb.com/hls/r86am856.m3u8
環球電影頻道|http://live-cdn.xzxwhcb.com/hls/sn88wrar.m3u8
Newtv动作电影|http://183.207.249.15/PLTV/3/224/3221225529/index.m3u8
香港奇妙电视|http://media.fantv.hk/m3u8/archive/channel2.m3u8
香港开电视|http://media.fantv.hk/m3u8/archive/channel2_stream1.m3u8
香港电影频道|http://aldirect.hls.huya.com/huyalive/29106097-2689453724-11551115788685410304-2847687506-10057-A-1525422901-1_1200.m3u8
